iter	Passed	Remaining
0	0	443
1	0	407
2	1	400
3	1	391
4	1	388
5	2	382
6	2	384
7	3	379
8	3	373
9	3	382
10	4	388
11	4	386
12	5	382
13	5	380
14	5	380
15	6	391
16	6	399
17	7	409
18	8	415
19	8	411
20	8	409
21	9	412
22	9	412
23	10	415
24	10	412
25	10	410
26	11	407
27	11	403
28	11	400
29	12	397
30	12	394
31	12	391
32	13	389
33	13	386
34	13	384
35	14	381
36	14	379
37	14	377
38	15	375
39	15	374
40	15	372
41	16	371
42	16	372
43	17	371
44	17	370
45	17	372
46	18	377
47	19	377
48	19	377
49	19	376
50	20	376
51	20	378
52	21	379
53	21	379
54	22	381
55	22	383
56	23	383
57	23	383
58	24	383
59	24	382
60	24	381
61	25	379
62	25	378
63	25	376
64	26	375
65	26	374
66	26	373
67	27	372
68	27	370
69	27	368
70	28	367
71	28	365
72	28	364
73	29	363
74	29	362
75	29	361
76	30	359
77	30	358
78	30	357
79	31	356
80	31	356
81	31	354
82	32	354
83	32	354
84	32	353
85	33	352
86	33	352
87	33	351
88	34	353
89	34	353
90	35	354
91	36	360
92	37	361
93	37	361
94	37	361
95	38	360
96	38	359
97	38	358
98	39	357
99	39	356
100	39	356
101	40	354
102	40	353
103	40	352
104	41	351
105	41	350
106	41	350
107	42	349
108	42	348
109	43	348
110	43	346
111	43	345
112	43	345
113	44	344
114	44	344
115	45	343
116	45	343
117	45	342
118	46	340
119	46	340
120	46	340
121	47	340
122	47	340
123	48	340
124	48	339
125	48	339
126	49	339
127	49	339
128	50	340
129	51	341
130	51	342
131	52	343
132	52	343
133	53	342
134	53	343
135	53	342
136	54	342
137	54	342
138	55	341
139	55	340
140	55	339
141	56	339
142	56	338
143	56	337
144	57	336
145	57	335
146	57	335
147	58	334
148	58	333
149	58	332
150	59	331
151	59	331
152	59	330
153	60	329
154	60	329
155	60	328
156	61	328
157	61	328
158	62	328
159	62	327
160	62	326
161	62	325
162	63	325
163	63	326
164	64	326
165	64	326
166	66	332
167	67	333
168	67	333
169	68	332
170	68	332
171	69	332
172	69	331
173	69	330
174	69	329
175	70	329
176	70	328
177	70	327
178	71	326
179	71	325
180	71	324
181	72	324
182	72	323
183	72	322
184	73	322
185	73	321
186	73	319
187	73	319
188	74	318
189	74	318
190	75	317
191	75	317
192	75	316
193	76	316
194	76	316
195	77	316
196	77	315
197	77	315
198	78	315
199	78	315
200	79	314
201	79	314
202	80	314
203	80	314
204	81	314
205	81	314
206	82	314
207	82	313
208	82	313
209	83	313
210	83	312
211	84	312
212	84	311
213	84	311
214	85	310
215	85	309
216	85	309
217	86	308
218	86	308
219	86	307
220	87	307
221	87	306
222	87	305
223	87	304
224	88	304
225	88	303
226	88	302
227	89	302
228	89	301
229	90	301
230	90	301
231	90	300
232	91	300
233	91	299
234	91	298
235	92	298
236	92	297
237	92	297
238	93	297
239	93	297
240	94	297
241	94	296
242	95	296
243	95	296
244	95	295
245	96	295
246	96	295
247	97	295
248	98	296
249	98	296
250	99	296
251	99	295
252	100	295
253	100	295
254	100	294
255	101	293
256	101	293
257	101	292
258	102	292
259	102	291
260	102	291
261	103	290
262	103	289
263	103	289
264	104	288
265	104	288
266	104	287
267	105	287
268	105	286
269	105	286
270	106	286
271	106	285
272	107	286
273	107	286
274	108	285
275	108	285
276	109	285
277	109	285
278	110	285
279	110	285
280	111	284
281	111	284
282	112	284
283	112	283
284	112	283
285	113	282
286	113	282
287	113	281
288	114	280
289	114	280
290	114	279
291	115	279
292	115	278
293	115	278
294	116	277
295	116	277
296	116	276
297	117	275
298	117	275
299	117	274
300	118	274
301	118	274
302	118	273
303	119	272
304	119	272
305	123	280
306	124	281
307	125	280
308	125	280
309	126	280
310	126	280
311	126	279
312	127	279
313	127	278
314	128	278
315	128	277
316	128	277
317	128	276
318	129	276
319	129	275
